Plan Name,Disease,Premium Type,Maximum Coverage,Deductible,Co-pay Percentage,Out-of-Pocket,Waiting Period,Claims Settled,Renewability,Hospital Coverage,Benefits,Tax Redemption
Individual Health Insurance,Heart Attack,Basic,420379.0,5%,20%,117705.0,172,90.0,Renewable,8272.0,"Benefit from Rs.420379.0 in disease coverage with Individual Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 172 days, ensuring the plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Heart Attack,Lite,553045.0,10%,10%,90146.0,155,92.0,Renewable,8396.0,"For Individual Health Insurance Lite, enjoy Rs.553045.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 155 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Heart Attack,Premier,663712.0,15%,5%,64711.0,135,96.0,Renewable,8441.0,"For Individual Health Insurance Premier, access Rs.663712.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 135 days to wait, this plan is specifically designed for individual coverage.",20%
Individual Health Insurance,Coronary Artery Disease,Basic,369921.0,5%,20%,103577.0,163,90.0,Renewable,8285.0,Individual Health Insurance Basic offers Rs.369921.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 163 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Coronary Artery Disease,Lite,483175.0,10%,10%,78757.0,147,95.0,Renewable,8509.0,"For Individual Health Insurance Lite, enjoy Rs.483175.0 in disease coverage paired with a 10% deductible and 10% co-pay. Benefits start after 147 days, crafted to be specifically designed for individual coverage.",15%
Individual Health Insurance,Coronary Artery Disease,Premier,590420.0,15%,5%,57565.0,129,98.0,Renewable,8539.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.590420.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 129 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Brain Surgery,Basic,730976.0,5%,20%,204672.0,601,88.0,One-time renewability,8067.0,"For Individual Health Insurance Basic, receive Rs.730976.0 in disease coverage with a 5% deductible and 20% co-pay. The waiting period is 601 days, and this plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Brain Surgery,Lite,876292.0,10%,10%,142835.0,562,95.0,One-time renewability,8290.0,"Experience targeted disease coverage with Individual Health Insurance Lite - Rs.876292.0 in coverage, a 10% deductible, and 10% co-pay. Activation is in 562 days, reflecting a plan that is specifically designed for individual coverage.",15%
Individual Health Insurance,Brain Surgery,Premier,1011536.0,15%,5%,98624.0,554,98.0,One-time renewability,8474.0,"Individual Health Insurance Premier offers Rs.1011536.0 disease coverage, paired with a minimal 15% deductible and 5% co-pay. Benefits activate after 554 days, making it a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Severe Coma,Basic,514627.0,5%,20%,144095.0,169,90.0,Renewable,8141.0,"Benefit from Rs.514627.0 in disease coverage with Individual Health Insurance Basic, featuring a 5% deductible and 20% co-pay. Coverage starts in 169 days, ensuring the plan is specifically designed for individual coverage.",10%
Individual Health Insurance,Severe Coma,Lite,648951.0,10%,10%,105778.0,146,95.0,Renewable,8245.0,"Individual Health Insurance Lite provides Rs.648951.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 146 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Severe Coma,Premier,785497.0,15%,5%,76585.0,140,100.0,Renewable,8540.0,"Experience premium disease coverage with Individual Health Insurance Premier: Rs.785497.0 in coverage, a 15% deductible, and 5% co-pay. The waiting period is just 140 days - a plan that is specifically designed for individual coverage.",20%
Individual Health Insurance,Poliomyelitis,Basic,312573.0,5%,20%,87520.0,172,90.0,Renewable,8148.0,Individual Health Insurance Basic offers Rs.312573.0 disease coverage with a 5% deductible and 20% co-pay. Activation occurs after 172 days - a plan that is specifically designed for individual coverage.,10%
Individual Health Insurance,Poliomyelitis,Lite,437618.0,10%,10%,71331.0,157,92.0,Renewable,8367.0,"Individual Health Insurance Lite provides Rs.437618.0 disease coverage with a 10% deductible and 10% co-pay. Coverage becomes active in 157 days, and the plan is specifically designed for individual coverage.",15%
Individual Health Insurance,Poliomyelitis,Premier,546995.0,15%,5%,53331.0,121,99.0,Renewable,8580.0,"For Individual Health Insurance Premier, access Rs.546995.0 in disease coverage with a low 15% deductible and 5% co-pay. With only 121 days to wait, this plan is specifically designed for individual coverage.",20%
